rank,feature,sensor,group,importance,permutationMean,permutationStd
76,s0_mid_band,D0:99:8C:48:4D:38,frequency,0.0009743214818886944,0.0,0.0
77,coherence_min_abs_lag,all,cross-floor coherence,0.0007996591032514552,0.0,0.0
78,s0_dominant_freq,D0:99:8C:48:4D:38,frequency,0.0005403559916060298,0.0,0.0
79,active_sensors_0_05,all,sample/activity count,0.0004845017629921783,0.0,0.0
80,s1_dominant_freq,D1:6E:A1:15:03:57,frequency,0.00036727164019572566,0.0,0.0
81,s2_dominant_freq,FA:91:56:1E:26:15,frequency,0.000324417890256582,0.0,0.0
82,s1_frac_ge_0.1,D1:6E:A1:15:03:57,bursts/threshold duration,0.00021391891070460383,0.0,0.0
83,s1_count,D1:6E:A1:15:03:57,sample/activity count,0.0001875796484358017,0.0,0.0
84,s2_peaks_per_second,FA:91:56:1E:26:15,bursts/threshold duration,0.00015026685689329417,0.0,0.0
85,s1_peaks_per_second,D1:6E:A1:15:03:57,bursts/threshold duration,0.0001227549767736699,0.0,0.0
86,s2_count,FA:91:56:1E:26:15,sample/activity count,7.7096602828971e-05,0.0,0.0
87,s0_peaks_per_second,D0:99:8C:48:4D:38,bursts/threshold duration,5.5867680994158e-05,0.0,0.0
88,s0_count,D0:99:8C:48:4D:38,sample/activity count,2.2191607804030377e-05,0.0,0.0
